initial_conditions,termination_time,termination_reason
"(np.float64(0.5235987755982988), np.float64(2.6179938779914944), 0, 0)",34.25201579718053,Large deviation
"(np.float64(0.5235987755982988), np.float64(2.356194490192345), 0, 0)",92.43852672656263,Large deviation
"(np.float64(0.7853981633974483), np.float64(2.0943951023931953), 0, 0)",72.99339865326677,Large deviation
"(np.float64(0.7853981633974483), np.float64(2.356194490192345), 0, 0)",50.385264310204214,Large deviation
"(np.float64(0.7853981633974483), np.float64(2.6179938779914944), 0, 0)",43.851082020766974,Large deviation
"(np.float64(1.0471975511965976), np.float64(2.0943951023931953), 0, 0)",59.669495700137226,Large deviation
"(np.float64(1.0471975511965976), np.float64(2.6179938779914944), 0, 0)",42.779229426097416,Large deviation
"(np.float64(1.0471975511965976), np.float64(2.356194490192345), 0, 0)",104.48497339650832,Large deviation
"(np.float64(1.5707963267948966), np.float64(0.5235987755982988), 0, 0)",74.43147448739393,Large deviation
"(np.float64(1.5707963267948966), np.float64(0.7853981633974483), 0, 0)",43.84669957933699,Large deviation
"(np.float64(1.5707963267948966), np.float64(1.0471975511965976), 0, 0)",41.4462848684167,Large deviation
"(np.float64(1.5707963267948966), np.float64(1.5707963267948966), 0, 0)",94.86880827156959,Large deviation
"(np.float64(1.5707963267948966), np.float64(2.0943951023931953), 0, 0)",64.34740567239317,Large deviation
"(np.float64(1.5707963267948966), np.float64(2.356194490192345), 0, 0)",54.93743774551328,Large deviation
"(np.float64(2.0943951023931953), np.float64(0.5235987755982988), 0, 0)",16.297775346719998,Large deviation
"(np.float64(1.5707963267948966), np.float64(2.6179938779914944), 0, 0)",52.3557455501302,Large deviation
"(np.float64(2.0943951023931953), np.float64(0.7853981633974483), 0, 0)",14.659049106353459,Large deviation
"(np.float64(2.0943951023931953), np.float64(1.0471975511965976), 0, 0)",16.36594900652753,Large deviation
"(np.float64(2.0943951023931953), np.float64(1.5707963267948966), 0, 0)",51.07620425633263,Large deviation
"(np.float64(2.356194490192345), np.float64(0.5235987755982988), 0, 0)",36.97619913805574,Large deviation
"(np.float64(2.356194490192345), np.float64(0.7853981633974483), 0, 0)",25.593012980353457,Large deviation
"(np.float64(2.356194490192345), np.float64(1.0471975511965976), 0, 0)",18.3296919112433,Large deviation
"(np.float64(2.356194490192345), np.float64(1.5707963267948966), 0, 0)",24.016314393783794,Large deviation
"(np.float64(2.6179938779914944), np.float64(0.7853981633974483), 0, 0)",40.16864871706714,Large deviation
"(np.float64(2.6179938779914944), np.float64(0.5235987755982988), 0, 0)",69.94085822301939,Large deviation
"(np.float64(2.6179938779914944), np.float64(1.0471975511965976), 0, 0)",13.8818760294908,Large deviation
"(1.17665, 2.98676, 0, 0)",13.33994875323303,Large deviation
"(1.88846, 2.22448, 0, 0)",6.709494032772335,Large deviation
"(0.18248, 2.72117, 0, 0)",65.87209180865307,Large deviation
"(2.6152, 0.66708, 0, 0)",27.79491901529338,Large deviation
"(0.06467, 3.04706, 0, 0)",114.48421775277802,Large deviation
"(1.92219, 0.43823, 0, 0)",19.063187824109516,Large deviation
"(1.43279, 2.4667, 0, 0)",34.42258177013849,Large deviation
"(1.86113, 0.14593, 0, 0)",39.43165668247371,Large deviation
"(1.90866, 0.53572, 0, 0)",53.57301228189863,Large deviation
"(2.14958, 1.38278, 0, 0)",56.40410786617171,Large deviation
"(0.81298, 2.08138, 0, 0)",32.39435298013752,Large deviation
"(1.71754, 0.58074, 0, 0)",22.243769647582177,Large deviation
"(0.97927, 1.63384, 0, 0)",84.8180874522722,Large deviation
"(2.60356, 1.12077, 0, 0)",25.57494511214144,Large deviation
"(0.88258, 1.70493, 0, 0)",117.36121869472088,Large deviation
"(0.23421, 3.1004, 0, 0)",41.92011635487756,Large deviation
"(0.44273, 2.52018, 0, 0)",87.6272363338218,Large deviation
"(2.42608, 0.62428, 0, 0)",36.85181772995241,Large deviation
"(2.42302, 0.23262, 0, 0)",8.576786700177964,Large deviation
"(2.42206, 1.5513, 0, 0)",18.280033580735537,Large deviation
"(1.28926, 2.37363, 0, 0)",14.482185423455686,Large deviation
"(2.8512, 0.78317, 0, 0)",51.50055453399132,Large deviation
"(2.52481, 0.58613, 0, 0)",18.123417246815556,Large deviation
"(2.96224, 1.01537, 0, 0)",13.036895565851658,Large deviation
"(1.31134, 0.69777, 0, 0)",106.73854756903599,Large deviation
"(1.62983, 2.2086, 0, 0)",75.2758218621811,Large deviation
"(1.14238, 3.05294, 0, 0)",62.78190283419463,Large deviation
"(3.02362, 0.791, 0, 0)",62.70061508297317,Large deviation
"(1.56215, 0.94524, 0, 0)",52.89294887498164,Large deviation
"(1.915, 1.57921, 0, 0)",34.52786549724619,Large deviation
"(2.8534, 0.75261, 0, 0)",15.991963245398837,Large deviation
"(3.09651, 0.76044, 0, 0)",15.104375164348538,Large deviation
"(0.74656, 2.28776, 0, 0)",79.43161293875293,Large deviation
"(1.99029, 1.68319, 0, 0)",15.575317552331052,Large deviation
"(1.15542, 1.98645, 0, 0)",51.199070240193535,Large deviation
"(2.12863, 0.05211, 0, 0)",43.228275285440326,Large deviation
"(2.17064, 1.21496, 0, 0)",14.915997176175772,Large deviation
"(2.02687, 0.54779, 0, 0)",47.64771471514759,Large deviation
"(2.94282, 0.43203, 0, 0)",14.912583009615537,Large deviation
"(1.66395, 0.7598, 0, 0)",52.34614241203278,Large deviation
"(0.29249, 2.81869, 0, 0)",89.42264957506238,Large deviation
"(2.017, 0.26433, 0, 0)",32.491418766788705,Large deviation
"(0.50777, 2.82289, 0, 0)",64.3889292773509,Large deviation
"(1.90515, 0.02889, 0, 0)",81.02300023194934,Large deviation
"(1.7239, 2.17365, 0, 0)",52.00452079858879,Large deviation
"(2.23738, 0.74534, 0, 0)",13.274290850140238,Large deviation
"(2.0482, 0.70456, 0, 0)",57.74410518786376,Large deviation
"(2.06595, 1.78539, 0, 0)",14.79524247091301,Large deviation
"(1.02227, 2.34517, 0, 0)",103.82496515777049,Large deviation
"(1.8124, 1.54729, 0, 0)",36.68544584270368,Large deviation
"(2.02781, 0.55641, 0, 0)",21.6768873648069,Large deviation
"(1.34518, 3.03684, 0, 0)",73.33252413252102,Large deviation
"(2.67392, 0.99564, 0, 0)",13.655901172692072,Large deviation
"(1.7909, 0.30529, 0, 0)",80.27326621934691,Large deviation
"(1.60643, 1.57556, 0, 0)",32.44108559356698,Large deviation
"(2.79603, 1.06184, 0, 0)",16.39210602216897,Large deviation
"(1.81672, 0.11292, 0, 0)",30.802058362952753,Large deviation
"(1.46272, 1.70477, 0, 0)",62.08515546322765,Large deviation
"(0.9002, 1.85616, 0, 0)",107.92348804490196,Large deviation
"(2.58428, 1.13157, 0, 0)",24.057505735255162,Large deviation
"(2.41901, 0.67802, 0, 0)",61.207610496115166,Large deviation
"(1.95687, 0.26813, 0, 0)",55.23224861973268,Large deviation
"(1.69846, 2.00255, 0, 0)",32.20384272323972,Large deviation
"(2.49815, 0.85084, 0, 0)",7.822508361591259,Large deviation
"(1.62201, 1.0146, 0, 0)",75.35357270372685,Large deviation
"(0.07964, 3.02425, 0, 0)",88.06179595974935,Large deviation
"(1.72545, 2.24497, 0, 0)",15.487288845492168,Large deviation
"(2.07407, 0.87944, 0, 0)",17.94440735780469,Large deviation
"(1.74155, 1.92178, 0, 0)",38.01046580256682,Large deviation
"(1.11832, 2.38084, 0, 0)",33.50064406189146,Large deviation
"(1.25194, 1.93475, 0, 0)",13.29820247628204,Large deviation
"(1.54446, 1.48746, 0, 0)",88.79668294905838,Large deviation
"(1.99521, 0.14233, 0, 0)",85.45131623682471,Large deviation
"(1.58065, 2.69074, 0, 0)",14.23550928682379,Large deviation
"(1.17688, 1.9662, 0, 0)",54.57403488178286,Large deviation
"(2.06935, 0.51187, 0, 0)",11.08207675936366,Large deviation
"(1.43964, 1.71411, 0, 0)",28.208582695245223,Large deviation
"(1.21947, 2.02095, 0, 0)",99.55987646900982,Large deviation
"(2.65425, 0.07311, 0, 0)",14.650784491347217,Large deviation
"(2.55873, 0.88547, 0, 0)",30.87046994627172,Large deviation
"(1.16873, 2.43917, 0, 0)",21.312399920137576,Large deviation
"(1.07067, 2.92406, 0, 0)",48.03697154014772,Large deviation
"(1.5873, 2.59639, 0, 0)",12.526591220480638,Large deviation
"(0.32397, 2.83545, 0, 0)",110.21291189994352,Large deviation
"(1.00547, 2.81337, 0, 0)",34.46740164295661,Large deviation
"(2.84434, 0.28679, 0, 0)",22.3742911171704,Large deviation
"(1.00315, 2.98471, 0, 0)",36.78302675930656,Large deviation
"(1.98498, 1.40883, 0, 0)",22.68119740774071,Large deviation
"(1.38711, 2.7888, 0, 0)",18.807903516190137,Large deviation
"(0.44922, 2.39236, 0, 0)",94.56900418812879,Large deviation
"(1.94219, 0.31769, 0, 0)",76.7501667339987,Large deviation
"(2.21873, 0.25556, 0, 0)",62.55937532652168,Large deviation
"(0.26653, 3.09962, 0, 0)",104.34678502547344,Large deviation
"(1.33273, 2.8474, 0, 0)",13.548550271478156,Large deviation
