initial_conditions,termination_time,termination_reason
"(np.float64(0.5235987755982988), np.float64(2.6179938779914944), 0, 0)",52.5176034809276,Large deviation
"(np.float64(0.5235987755982988), np.float64(2.356194490192345), 0, 0)",103.8250589179003,Large deviation
"(np.float64(0.7853981633974483), np.float64(2.356194490192345), 0, 0)",63.84226931660942,Large deviation
"(np.float64(0.7853981633974483), np.float64(2.6179938779914944), 0, 0)",99.13739290940121,Large deviation
"(np.float64(1.0471975511965976), np.float64(2.6179938779914944), 0, 0)",58.16263368172626,Large deviation
"(np.float64(1.0471975511965976), np.float64(2.356194490192345), 0, 0)",110.20415279680606,Large deviation
"(np.float64(1.5707963267948966), np.float64(1.0471975511965976), 0, 0)",58.92347608681852,Large deviation
"(np.float64(1.5707963267948966), np.float64(2.0943951023931953), 0, 0)",71.14134703260099,Large deviation
"(np.float64(1.5707963267948966), np.float64(2.356194490192345), 0, 0)",67.47189682029489,Large deviation
"(np.float64(2.0943951023931953), np.float64(0.5235987755982988), 0, 0)",29.630680274736505,Large deviation
"(np.float64(1.5707963267948966), np.float64(2.6179938779914944), 0, 0)",78.14911908986798,Large deviation
"(np.float64(2.0943951023931953), np.float64(0.7853981633974483), 0, 0)",25.04666770496417,Large deviation
"(np.float64(2.0943951023931953), np.float64(1.0471975511965976), 0, 0)",51.33693585215369,Large deviation
"(np.float64(2.0943951023931953), np.float64(1.5707963267948966), 0, 0)",71.56080607645974,Large deviation
"(np.float64(2.356194490192345), np.float64(0.7853981633974483), 0, 0)",32.42594918656031,Large deviation
"(np.float64(2.356194490192345), np.float64(0.5235987755982988), 0, 0)",81.94742955456773,Large deviation
"(np.float64(2.356194490192345), np.float64(1.0471975511965976), 0, 0)",26.723373368776777,Large deviation
"(np.float64(2.356194490192345), np.float64(1.5707963267948966), 0, 0)",65.92754232880506,Large deviation
"(np.float64(2.6179938779914944), np.float64(0.5235987755982988), 0, 0)",77.2553690705664,Large deviation
"(np.float64(2.6179938779914944), np.float64(1.0471975511965976), 0, 0)",22.01431717911094,Large deviation
"(np.float64(2.6179938779914944), np.float64(0.7853981633974483), 0, 0)",76.66001502558352,Large deviation
"(1.17665, 2.98676, 0, 0)",67.61687973011983,Large deviation
"(0.18248, 2.72117, 0, 0)",101.9007114022689,Large deviation
"(1.88846, 2.22448, 0, 0)",54.84053540723753,Large deviation
"(2.6152, 0.66708, 0, 0)",73.52098667733382,Large deviation
"(1.92219, 0.43823, 0, 0)",83.81533414279207,Large deviation
"(1.43279, 2.4667, 0, 0)",86.8196431270178,Large deviation
"(1.86113, 0.14593, 0, 0)",99.06349716943984,Large deviation
"(1.90866, 0.53572, 0, 0)",68.43889774253648,Large deviation
"(2.14958, 1.38278, 0, 0)",87.41310180124393,Large deviation
"(0.81298, 2.08138, 0, 0)",87.27571909874823,Large deviation
"(1.71754, 0.58074, 0, 0)",48.75646236543861,Large deviation
"(2.60356, 1.12077, 0, 0)",51.79558882841197,Large deviation
"(2.42608, 0.62428, 0, 0)",47.68842031256963,Large deviation
"(2.42302, 0.23262, 0, 0)",24.78683201584396,Large deviation
"(2.42206, 1.5513, 0, 0)",55.385273292550515,Large deviation
"(1.28926, 2.37363, 0, 0)",91.64457023519286,Large deviation
"(2.52481, 0.58613, 0, 0)",24.368683132518427,Large deviation
"(1.62983, 2.2086, 0, 0)",81.66593676691024,Large deviation
"(1.14238, 3.05294, 0, 0)",82.71494080120296,Large deviation
"(1.56215, 0.94524, 0, 0)",105.62408444143203,Large deviation
"(1.915, 1.57921, 0, 0)",56.853913884365504,Large deviation
"(1.15542, 1.98645, 0, 0)",94.62701872860079,Large deviation
"(1.99029, 1.68319, 0, 0)",60.64311619113045,Large deviation
"(2.12863, 0.05211, 0, 0)",84.97561433235808,Large deviation
"(2.17064, 1.21496, 0, 0)",28.669387657996136,Large deviation
"(2.02687, 0.54779, 0, 0)",119.05809202450769,Large deviation
"(1.66395, 0.7598, 0, 0)",88.87619692673434,Large deviation
"(0.29249, 2.81869, 0, 0)",102.14290596370802,Large deviation
"(2.017, 0.26433, 0, 0)",48.40610064579935,Large deviation
"(1.90515, 0.02889, 0, 0)",84.11642658140735,Large deviation
"(1.7239, 2.17365, 0, 0)",60.04994307749328,Large deviation
"(2.23738, 0.74534, 0, 0)",38.5312776411638,Large deviation
"(2.0482, 0.70456, 0, 0)",92.46643774570562,Large deviation
"(2.06595, 1.78539, 0, 0)",34.905924352287684,Large deviation
"(1.8124, 1.54729, 0, 0)",78.695273303978,Large deviation
"(2.02781, 0.55641, 0, 0)",27.88206930011093,Large deviation
"(1.34518, 3.03684, 0, 0)",77.81406782361076,Large deviation
"(1.60643, 1.57556, 0, 0)",81.67838291263294,Large deviation
"(1.81672, 0.11292, 0, 0)",64.9381090091488,Large deviation
"(2.58428, 1.13157, 0, 0)",45.62218045096294,Large deviation
"(2.41901, 0.67802, 0, 0)",71.93768755333936,Large deviation
"(1.95687, 0.26813, 0, 0)",73.06358993576514,Large deviation
"(1.69846, 2.00255, 0, 0)",39.03945922155783,Large deviation
"(2.49815, 0.85084, 0, 0)",70.15776385824651,Large deviation
"(1.72545, 2.24497, 0, 0)",51.71475507368069,Large deviation
"(1.74155, 1.92178, 0, 0)",45.71447195855386,Large deviation
"(2.07407, 0.87944, 0, 0)",111.0222792071265,Large deviation
"(1.54446, 1.48746, 0, 0)",103.70907005932891,Large deviation
"(1.25194, 1.93475, 0, 0)",90.68952204705354,Large deviation
"(1.99521, 0.14233, 0, 0)",102.25718185240612,Large deviation
"(1.58065, 2.69074, 0, 0)",41.458106883689844,Large deviation
"(2.06935, 0.51187, 0, 0)",21.586245967945345,Large deviation
"(1.43964, 1.71411, 0, 0)",36.400582722708016,Large deviation
"(1.21947, 2.02095, 0, 0)",112.22951092381784,Large deviation
"(2.55873, 0.88547, 0, 0)",39.087366754904814,Large deviation
"(1.16873, 2.43917, 0, 0)",77.44932791030928,Large deviation
"(1.5873, 2.59639, 0, 0)",53.86557724105929,Large deviation
"(1.00547, 2.81337, 0, 0)",54.31955240860134,Large deviation
"(1.98498, 1.40883, 0, 0)",50.66689422052282,Large deviation
"(1.00315, 2.98471, 0, 0)",109.4823870638723,Large deviation
"(1.38711, 2.7888, 0, 0)",53.17128642695658,Large deviation
"(1.94219, 0.31769, 0, 0)",113.47833884386661,Large deviation
"(2.21873, 0.25556, 0, 0)",68.45887884237106,Large deviation
"(1.33273, 2.8474, 0, 0)",22.008397752865694,Large deviation
"(0.89759, 2.72878, 0, 0)",90.89307734228007,Large deviation
"(1.65782, 3.11949, 0, 0)",55.35892443659054,Large deviation
"(1.97731, 2.18576, 0, 0)",51.22330897435637,Large deviation
"(1.83568, 2.83107, 0, 0)",41.55328003463118,Large deviation
"(1.42798, 1.97153, 0, 0)",80.79807597716189,Large deviation
"(1.43149, 1.9482, 0, 0)",47.71203424446028,Large deviation
"(1.83361, 0.24421, 0, 0)",63.421899444657285,Large deviation
"(2.19334, 1.6842, 0, 0)",48.948968343499374,Large deviation
"(0.97241, 2.55661, 0, 0)",102.35354493188493,Large deviation
"(2.15115, 0.51088, 0, 0)",69.01390696756202,Large deviation
"(1.9271, 1.31395, 0, 0)",117.13790379224068,Large deviation
"(1.18269, 2.54643, 0, 0)",88.29438181873574,Large deviation
"(1.86652, 1.1966, 0, 0)",85.39113980704708,Large deviation
"(0.17711, 2.71661, 0, 0)",62.68205184457252,Large deviation
"(1.94191, 1.1252, 0, 0)",48.40299089716869,Large deviation
"(1.63459, 2.42631, 0, 0)",64.83135039392504,Large deviation
"(1.63414, 2.67721, 0, 0)",59.607907020202234,Large deviation
"(1.73387, 1.76224, 0, 0)",80.62656853605891,Large deviation
"(2.21193, 0.66905, 0, 0)",39.11850796997613,Large deviation
"(1.61475, 2.46192, 0, 0)",54.94387877488312,Large deviation
"(1.24578, 1.95434, 0, 0)",92.92174302844546,Large deviation
"(0.46204, 2.91096, 0, 0)",102.5919397023469,Large deviation
"(1.54603, 0.8113, 0, 0)",62.80702217655715,Large deviation
"(1.44242, 3.07886, 0, 0)",70.60526336948934,Large deviation
"(1.54761, 1.0328, 0, 0)",94.10436697751422,Large deviation
"(1.98989, 0.75444, 0, 0)",56.78242508319508,Large deviation
"(2.09719, 0.54136, 0, 0)",77.60815099528345,Large deviation
"(1.97261, 0.25685, 0, 0)",77.72335175739511,Large deviation
"(1.9423, 1.15898, 0, 0)",29.57242089734852,Large deviation
"(1.4531, 2.34825, 0, 0)",69.35065565336194,Large deviation
"(1.60748, 1.67168, 0, 0)",64.36107905280517,Large deviation
"(1.86483, 2.13346, 0, 0)",24.37258395933966,Large deviation
"(1.84362, 2.34187, 0, 0)",58.738580951522465,Large deviation
"(2.02921, 1.79315, 0, 0)",58.980258461939535,Large deviation
"(1.11871, 3.09923, 0, 0)",103.07230428706666,Large deviation
"(1.2893, 3.08623, 0, 0)",43.29776120597209,Large deviation
"(2.56691, 0.81023, 0, 0)",70.71934993140063,Large deviation
"(2.41743, 0.58762, 0, 0)",61.617798523707094,Large deviation
"(1.0127, 2.5443, 0, 0)",115.6269292555866,Large deviation
"(1.096, 2.9202, 0, 0)",107.83995958944642,Large deviation
"(1.80476, 2.64468, 0, 0)",60.798500453337226,Large deviation
"(2.08978, 1.64326, 0, 0)",58.48595953545358,Large deviation
"(1.1273, 2.75581, 0, 0)",93.58237558599319,Large deviation
"(1.2329, 2.56542, 0, 0)",59.17753031047182,Large deviation
"(2.34868, 1.57934, 0, 0)",51.91012118716813,Large deviation
"(0.72952, 2.8261, 0, 0)",108.5001562726911,Large deviation
"(1.20603, 1.70762, 0, 0)",108.29365258277483,Large deviation
"(1.972, 1.05214, 0, 0)",39.537668311513066,Large deviation
"(1.94802, 1.67592, 0, 0)",74.68775402555298,Large deviation
"(0.34756, 2.65921, 0, 0)",71.0901425875696,Large deviation
"(1.07468, 2.58006, 0, 0)",106.22846459394674,Large deviation
"(2.50478, 0.47098, 0, 0)",54.812319550873696,Large deviation
"(0.72021, 2.26902, 0, 0)",85.19008249726545,Large deviation
"(2.1801, 1.70502, 0, 0)",43.68407663545935,Large deviation
"(0.57051, 2.85398, 0, 0)",117.46167943230276,Large deviation
"(1.45143, 2.97598, 0, 0)",53.291210717411566,Large deviation
"(1.83278, 1.25931, 0, 0)",114.7720343969353,Large deviation
