initial_conditions,termination_time,termination_reason
"(np.float64(0.5235987755982988), np.float64(2.6179938779914944), 0, 0)",77.92693532368665,Large deviation
"(np.float64(0.5235987755982988), np.float64(2.356194490192345), 0, 0)",114.05585704076717,Large deviation
"(np.float64(0.7853981633974483), np.float64(2.356194490192345), 0, 0)",82.85163963384427,Large deviation
"(np.float64(0.7853981633974483), np.float64(2.6179938779914944), 0, 0)",105.05210277851518,Large deviation
"(np.float64(1.0471975511965976), np.float64(2.6179938779914944), 0, 0)",62.99425752560155,Large deviation
"(np.float64(1.0471975511965976), np.float64(2.356194490192345), 0, 0)",116.08452992580905,Large deviation
"(np.float64(1.5707963267948966), np.float64(1.0471975511965976), 0, 0)",72.97085321764065,Large deviation
"(np.float64(1.5707963267948966), np.float64(2.0943951023931953), 0, 0)",79.71168327755957,Large deviation
"(np.float64(1.5707963267948966), np.float64(2.356194490192345), 0, 0)",76.12586434620432,Large deviation
"(np.float64(1.5707963267948966), np.float64(2.6179938779914944), 0, 0)",82.61422889507938,Large deviation
"(np.float64(2.0943951023931953), np.float64(0.7853981633974483), 0, 0)",37.91059340053956,Large deviation
"(np.float64(2.0943951023931953), np.float64(0.5235987755982988), 0, 0)",115.93277589079355,Large deviation
"(np.float64(2.0943951023931953), np.float64(1.0471975511965976), 0, 0)",77.1291873371091,Large deviation
"(np.float64(2.0943951023931953), np.float64(1.5707963267948966), 0, 0)",78.6406091051558,Large deviation
"(np.float64(2.356194490192345), np.float64(0.5235987755982988), 0, 0)",86.32897967384386,Large deviation
"(np.float64(2.356194490192345), np.float64(1.0471975511965976), 0, 0)",57.20524939670853,Large deviation
"(np.float64(2.356194490192345), np.float64(0.7853981633974483), 0, 0)",80.99655234601968,Large deviation
"(np.float64(2.356194490192345), np.float64(1.5707963267948966), 0, 0)",70.09162968127089,Large deviation
"(np.float64(2.6179938779914944), np.float64(0.5235987755982988), 0, 0)",83.22855864499283,Large deviation
"(np.float64(2.6179938779914944), np.float64(1.0471975511965976), 0, 0)",29.083622495645276,Large deviation
"(np.float64(2.6179938779914944), np.float64(0.7853981633974483), 0, 0)",88.32033978344025,Large deviation
"(1.17665, 2.98676, 0, 0)",96.96983384689686,Large deviation
"(2.6152, 0.66708, 0, 0)",79.19588110143096,Large deviation
"(1.92219, 0.43823, 0, 0)",105.08961896304972,Large deviation
"(1.43279, 2.4667, 0, 0)",92.29926777513391,Large deviation
"(1.86113, 0.14593, 0, 0)",103.49165697075206,Large deviation
"(1.90866, 0.53572, 0, 0)",104.7986426169802,Large deviation
"(2.14958, 1.38278, 0, 0)",114.04504729614231,Large deviation
"(2.60356, 1.12077, 0, 0)",58.15341130202083,Large deviation
"(2.42608, 0.62428, 0, 0)",90.11159067323321,Large deviation
"(2.42302, 0.23262, 0, 0)",61.68577269508527,Large deviation
"(2.42206, 1.5513, 0, 0)",60.70057385371326,Large deviation
"(1.28926, 2.37363, 0, 0)",99.48000051847464,Large deviation
"(2.52481, 0.58613, 0, 0)",36.86634925923165,Large deviation
"(1.62983, 2.2086, 0, 0)",87.78699738505343,Large deviation
"(1.14238, 3.05294, 0, 0)",88.67105353028222,Large deviation
"(1.915, 1.57921, 0, 0)",64.10037556978237,Large deviation
"(1.99029, 1.68319, 0, 0)",67.46309071486607,Large deviation
"(2.12863, 0.05211, 0, 0)",94.45958995250271,Large deviation
"(2.17064, 1.21496, 0, 0)",45.705324989574855,Large deviation
"(1.66395, 0.7598, 0, 0)",109.7479285081739,Large deviation
"(2.017, 0.26433, 0, 0)",89.59806987384393,Large deviation
"(1.90515, 0.02889, 0, 0)",87.07696044270995,Large deviation
"(1.7239, 2.17365, 0, 0)",65.77978884614056,Large deviation
"(2.23738, 0.74534, 0, 0)",50.514913118309316,Large deviation
"(2.0482, 0.70456, 0, 0)",95.42920398897967,Large deviation
"(2.06595, 1.78539, 0, 0)",62.39692668118862,Large deviation
"(1.8124, 1.54729, 0, 0)",83.63072360765332,Large deviation
"(2.02781, 0.55641, 0, 0)",53.83060436329567,Large deviation
"(1.34518, 3.03684, 0, 0)",87.8105350805385,Large deviation
